gender,product_type,name,name_english,website_url,status
Girl,Shirt,Áo thun,T-Shirts,www.maisononline.vn/collections/quan-ao-tre-em,published
Boy,Shirt,Áo thun,T-Shirts,www.maisononline.vn/collections/quan-ao-tre-em,published
Men,Shirt,Áo thun,T-Shirts,www.maisononline.vn/collections/ao-thun-nam,published
Men,Shirt,Áo polo,Polo Shirts,www.maisononline.vn/collections/ao-polo-nam,published
Men,Shirt,Áo ba lỗ,Tank Tops,www.maisononline.vn/collections/ao-ba-lo-nam,published
Men,Shirt,Áo sơ mi,Shirts,www.maisononline.vn/collections/ao-so-mi-nam,published
Men,Shirt,Áo sơ mi denim,Denim Shirts,www.maisononline.vn/collections/ao-so-mi-denim-nam,published
Men,Shirt,Áo dệt kim,Knitted Tops,www.maisononline.vn/collections/ao-det-kim-nam,published
Men,Shirt,Áo sweatshirt,Sweatshirts,www.maisononline.vn/collections/ao-ni-sweatshirt-nam,published
Men,Shirt,Áo sweater,Sweaters,www.maisononline.vn/collections/ao-len-sweater-nam,published
Men,Shirt,Áo hoodie,Hoodies,www.maisononline.vn/collections/ao-chui-dau-hoodie-nam,published
Men,Shirt,Áo vest nam,Suit Jackets,www.maisononline.vn/collections/ao-vest-nam,published
Men,Shirt,Bộ âu phục một hàng nút nam,Single Breasted Suits,www.maisononline.vn/collections/bo-au-phuc-mot-hang-nut-nam,published
Women,Shirt,Áo kiểu,Blouses,www.maisononline.vn/collections/ao-kieu-nu-1,published
Women,Shirt,Áo thun,T-Shirts & Jersey Shirts,www.maisononline.vn/collections/ao-thun-nu,published
Women,Shirt,Áo polo,Polo Shirts,www.maisononline.vn/collections/ao-polo-nu-1,published
Women,Shirt,Áo ba lỗ,Tank Tops,www.maisononline.vn/collections/ao-ba-lo-nu-do-the-thao,published
Women,Shirt,Áo sơ mi ,Shirts,www.maisononline.vn/collections/ao-so-mi-nu-1,published
Women,Shirt,Áo sơ mi denim,Denim Shirts,www.maisononline.vn/collections/ao-so-mi-denim-nu,published
Women,Shirt,Áo croptop,Crop Tops,www.maisononline.vn/collections/ao-croptop-nu,published
Women,Shirt,Áo hai dây,Two-strap Shirts,www.maisononline.vn/collections/ao-hai-day-nu,published
Women,Shirt,Áo sát nách,Sleeveless Shirts,www.maisononline.vn/collections/ao-sat-nach-nu,published
Women,Shirt,Áo dệt kim ,Knitted Tops,www.maisononline.vn/collections/ao-det-kim-nu,published
Women,Shirt,Áo sweatshirt,Sweatshirts,www.maisononline.vn/collections/ao-ni-sweatshirt-nu,published
Women,Shirt,Áo sweater,Sweaters,www.maisononline.vn/collections/ao-len-sweater-nu,published
Women,Shirt,Áo hoodie,Hoodies,www.maisononline.vn/collections/ao-chui-dau-hoodie-nu,published
Women,Shirt,Jumpsuits,Jumpsuits,www.maisononline.vn/collections/jumpsuits-nu-1,published
Women,Shirt,Bodysuits,Bodysuits,www.maisononline.vn/collections/bodysuits-nu,published
Women,Shirt,Playsuits,Playsuits,www.maisononline.vn/collections/playsuits-nu,published
Women,Shirt,Áo trễ vai,Off Shoulder Tops,www.maisononline.vn/collections/ao-tre-vai-nu,published
Women,Shirt,Áo choàng,Cloak,www.maisononline.vn/collections/ao-choang-nu,published
Unisex,Shirt,Áo thun,T-Shirts,www.maisononline.vn/collections/ao-thun-unisex,published
